X1,lon,lat,dist.next,year_arr,year_dep,spring.med,spring.mean,spring.tot,real.arr,arr,real.dep,dep,dur,FstQu.lon,FstQu.lat,TrdQu.lon,TrdQu.lat,jul.last.wint,jul.last.stop,jul.arr.last.stop,tag,,species,deploy_loc,month,south,north,breed_label,tag_deployed,tag_length,tag_label,is.start,is.end,first.south,last.south,first.north,last.north,,,winter,winter.longstops,pop.summer,pop.winter,first.winter,last.winter,first.winter.longstops,last.winter.longstops,winter.discretion,,
13,-83.25,36.9,1623.727623,2012,2012,,,,2012-04-22 10:24,2012-04-22 10:24,2012-05-12 10:22,2012-05-12 10:22,20,-83.16455696,36.9,-83.25,37.8,,,,amgp_152,,amgp,bylo,4,FALSE,TRUE,NA,breed,year,NA,,,,,,,597.3266754,,,,,,,,,,,,
15,-98.85521174,45.675,3177.330306,2012,2012,,,,2012-05-13 10:36,2012-05-13 10:36,2012-05-31 4:04,2012-05-31 4:04,18,-98.36446741,43.875,-99.16720394,46.125,,152,,amgp_152,,amgp,bylo,5,FALSE,TRUE,NA,breed,year,NA,,,,,,,1623.727623,,,,,,,,,,,,
17,-79.98348,72.896745,0.846200761,2012,2012,2400.528965,3436.8515,13747.406,2012-06-01 1:01,2010-06-01 1:01,2012-06-01 1:02,2010-06-01 1:02,0,-79.98348,72.896745,-79.98348,72.896745,,,,amgp_152,,amgp,bylo,6,FALSE,TRUE,breed,breed,year,NA,,,,,,,3177.330306,,,,,,,,,,,,
2,-79.98566,72.889162,3069.051171,2011,2011,,,,2011-06-01 1:01,2010-06-01 1:01,2011-06-01 1:02,2010-06-01 1:02,0,-79.98566,72.889162,-79.98566,72.889162,,,,amgp_162,,amgp,bylo,6,TRUE,FALSE,breed,breed,lessyear,NA,,,,,,,0.846200761,,,,,,,,,,,,
3,-52.58426966,48.15,6667.853902,2011,2011,,,,2011-09-03 8:49,2011-09-03 8:49,2011-09-07 8:23,2011-09-07 8:23,4,-52.58426966,48.15,-53.58778626,49.05,,,,amgp_162,,amgp,bylo,9,TRUE,FALSE,NA,breed,lessyear,NA,,,,,,,3069.051171,,,,,,,,,,,,
4,-56.7709637,-11.7,12078.80278,2011,2011,,,,2011-09-07 21:33,2011-09-07 21:33,2011-09-25 22:00,2011-09-25 22:00,18,-56.23559539,-16.65,-57.13548387,-4.95,,,,amgp_162,,amgp,bylo,9,TRUE,TRUE,NA,breed,lessyear,NA,,,,,,,6667.853902,,,,,,,,,,,,
171,-165.71,64.628,5925.314136,2009,2009,,,,2009-06-01 0:00,2016-06-01 0:00,2009-06-01 0:00,2016-06-01 0:00,0,-165.71,64.628,-165.71,64.628,,,,amgp_3339 _full,,amgp,nome,6,TRUE,FALSE,breed,breed,multiyear,NA,,,,,,,12078.80278,,,,,,,,,,,,
2,-61.56133829,47.7,4778.440907,2009,2009,,,,2009-09-04 23:05,2009-09-04 23:05,2009-09-07 9:02,2009-09-07 9:02,2,-61.56133829,47.7,-61.56133829,47.7,,,,amgp_3339 _full,,amgp,nome,9,TRUE,FALSE,NA,breed,multiyear,NA,,,,,,,5925.314136,,,,,,,,,,,,
3,-56.46173149,4.95,3457.462437,2009,2009,,,,2009-09-07 22:25,2009-09-07 22:25,2009-09-14 22:17,2009-09-14 22:17,7,-56.46173149,4.95,-56.46173149,4.95,,,,amgp_3339 _full,,amgp,nome,9,TRUE,FALSE,NA,breed,multiyear,NA,,,,,,,4778.440907,,,,,,,,,,,,
4,-58.16155989,-26.1,1001.109036,2009,2009,,,,2009-09-16 9:20,2009-09-16 9:20,2009-10-04 22:16,2009-10-04 22:16,19,-57.77777778,-29.25,-58.28080229,-26.1,,,,amgp_3339 _full,,amgp,nome,9,TRUE,FALSE,NA,breed,multiyear,NA,,,,,,,3457.462437,,,,,,,,,,,,
6,-53.60838266,-34.2,749.41811,2009,2010,,,,2009-10-05 9:20,2009-10-05 9:20,2010-02-02 9:04,2010-02-02 9:04,120,-53.60838266,-34.2,-53.60838266,-34.2,,,,amgp_3339 _full,,amgp,nome,10,TRUE,FALSE,NA,breed,multiyear,NA,,,,,,,1001.109036,,T,,,,T,,,,,,
8,-61.65961514,-35.55,8471.938779,2010,2010,,,,2010-02-03 23:37,2010-02-03 23:37,2010-03-14 11:33,2010-03-14 11:33,38,-60.59112595,-36,-61.71195929,-33.75,73,,,amgp_3339 _full,,amgp,nome,2,TRUE,TRUE,NA,breed,multiyear,NA,,,,,,,749.41811,,T,,,,,T,,,,,
10,-97.5,32.85,1113.87312,2010,2010,,,,2010-03-18 1:14,2010-03-18 1:14,2010-03-31 11:28,2010-03-31 11:28,13,-97.44360902,27,-98.13765182,33.75,,,,amgp_3339 _full,,amgp,nome,3,FALSE,TRUE,NA,breed,multiyear,NA,,,,,,,8471.938779,,,,,,,,,,,,
11,-88.82352941,40.05,852.427282,2010,2010,,,,2010-04-01 11:22,2010-04-01 11:22,2010-05-03 1:26,2010-05-03 1:26,32,-88.80794702,39.15,-88.83870968,40.95,,,,amgp_3339 _full,,amgp,nome,4,FALSE,TRUE,NA,breed,multiyear,NA,,,,,,,1113.87312,,,,,,,,,,,,
13,-98.18181818,43.2,1681.164342,2010,2010,,,,2010-05-03 10:37,2010-05-03 10:37,2010-05-21 4:09,2010-05-21 4:09,18,-98.18181818,43.2,-98.29565217,44.1,,,,amgp_3339 _full,,amgp,nome,5,FALSE,TRUE,NA,breed,multiyear,NA,,,,,,,852.427282,,,,,,,,,,,,
14,-111.2,55.8,3056.189073,2010,2010,,,,2010-05-22 4:23,2010-05-22 4:23,2010NA,NA,0,-111.2,55.8,-111.2,55.8,,#VALUE!,,amgp_3339 _full,,amgp,nome,5,FALSE,TRUE,NA,breed,multiyear,NA,,,,,,,1681.164342,,,,,,,,,,,,
15,-165.71,64.628,6262.947766,2010,2010,1681.164342,3035.118519,15175.59259,2010-06-01 0:00,2016-06-01 0:00,2010-06-01 0:00,2016-06-01 0:00,0,-165.71,64.628,-165.71,64.628,,,,amgp_3339 _full,,amgp,nome,6,FALSE,TRUE,breed,breed,multiyear,NA,,,,,,,3056.189073,,,,,,,,,,,,
15,-53.70165746,47.25,4760.574111,2010,2010,,,,2010-09-02 21:56,2010-09-02 21:56,2010-09-05 9:18,2010-09-05 9:18,2,-53.03867403,47.25,-55.83673469,51.75,,,,amgp_3339 _full,,amgp,nome,9,TRUE,FALSE,NA,breed,multiyear,NA,,,,,,,6262.947766,,,,,,,,,,,,
16,-56.39097744,4.5,10456.91355,2010,2010,,,,2010-09-06 22:06,2010-09-06 22:06,2010-09-12 22:07,2010-09-12 22:07,6,-56.08040201,2.7,-56.53266332,4.95,,,,amgp_3339 _full,,amgp,nome,9,TRUE,TRUE,NA,breed,multiyear,NA,,,,,,,4760.574111,,,,,,,,,,,,
141,-165.719,64.631,8944.277252,2009,2009,,,,2009-06-01 1:01,2010-06-01 1:01,2009-06-01 1:02,2010-06-01 1:02,0,-165.719,64.631,-165.719,64.631,,,,amgp_3343,,amgp,nome,6,TRUE,FALSE,breed,breed,year,NA,,,,,,,10456.91355,,,,,,,,,,,,
3,-61.64705882,17.1,1464.306256,2009,2009,,,,2009-08-23 9:22,2009-08-23 9:22,2009-08-28 22:40,2009-08-28 22:40,6,-59.39546599,7.2,-61.64705882,17.1,,,,amgp_3343,,amgp,nome,8,TRUE,FALSE,NA,breed,year,NA,,,,,,,8944.277252,,,,,,,,,,,,
4,-56.46173149,4.95,3355.411818,2009,2009,,,,2009-08-30 22:30,2009-08-30 22:30,2009-09-07 9:25,2009-09-07 9:25,7,-56.46173149,4.95,-56.46173149,4.95,,,,amgp_3343,,amgp,nome,8,TRUE,FALSE,NA,breed,year,NA,,,,,,,1464.306256,,,,,,,,,,,,
6,-57.74902975,-25.2,977.1383715,2009,2009,,,,2009-09-07 22:19,2009-09-07 22:19,2009-09-18 9:33,2009-09-18 9:33,10,-57.47460087,-30.6,-58.45737483,-22.5,,,,amgp_3343,,amgp,nome,9,TRUE,FALSE,NA,breed,year,NA,,,,,,,3355.411818,,,,,,,,,,,,
7,-53.83685801,-33.3,501.3415916,2009,2009,,,,2009-09-18 22:08,2009-09-18 22:08,2009-10-04 8:51,2009-10-04 8:51,15,-53.59398496,-33.75,-54.10714286,-32.85,,,,amgp_3343,,amgp,nome,9,TRUE,FALSE,NA,breed,year,NA,,,,,,,977.1383715,,T,,,,T,,,,,,
10,-57.77027735,-36.45,361.5124492,2009,2010,,,,2009-10-04 22:27,2009-10-04 22:27,2010-01-23 23:43,2010-01-23 23:43,111,-57.77027735,-36.45,-57.85500274,-36.45,,,,amgp_3343,,amgp,nome,10,TRUE,TRUE,NA,breed,year,NA,,,,,,,501.3415916,,T,,,,,,,,,,
